"tech","HS.Code","Product.Process","Definition","HS.Code.Index","type","stage","filename","product"
"EVs (Beyond batteries)","846150","PMSM Production; Steel Rod Splining","846150 -- Sawing or cutting-off machines by removing meta","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machine-tools; sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets"
"EVs (Beyond batteries)","851440","PMSM Production; Induction Heat Treatment","851440 -- Industrial&laboratory electric induction or die","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens"
"EVs (Beyond batteries)","903089","PMSM Production; Magnet Polarity Detection","903089 -- Instruments and apparatus for measuring or chec","90 - 92: Optical, photographic, medical instruments, clocks, etc.","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Instruments and apparatus; n.e.c. in heading no. 9030, without a recording device"
"EVs (Beyond batteries)","846210","PMSM Production; Stamping","846210 -- Forging or die-stamping mach (inc presses) and","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","845921","PMSM Production; CNC Drilling","845921 -- Drilling mches nes; numerically controlled for","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machine-tools; for drilling by removing metal, numerically controlled"
"EVs (Beyond batteries)","846150","PMSM Production; CNC Cutting","846150 -- Sawing or cutting-off machines by removing meta","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machine-tools; sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets"
"EVs (Beyond batteries)","845961","PMSM Production; CNC Millling","845961 -- Milling machines nes, numerically controlled fo","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machine-tools; for milling by removing metal, (not knee-type), numerically controlled"
"EVs (Beyond batteries)","845970","PMSM Production; CNC Threading","845970 -- Threading or tapping machines nes for removing","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Machine-tools; for threading or tapping by removing metal"
"EVs (Beyond batteries)","846291","PMSM Production; Hydraulic Press Assembly","846291 -- Hydraulic presses for working metal","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","870710","Bodies for automobiles","870710 -- Bodies for passenger carrying vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; bodies (including cabs) for the motor vehicles of heading no. 8703"
"EVs (Beyond batteries)","870790","Bodies for larger vehicles","870790 -- Bodies for tractors, buses, trucks and special","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; bodies (including cabs) for the motor vehicles of heading no. 8701, 8702, 8704 or 8705"
"EVs (Beyond batteries)","870810","Bumpers","870810 -- Bumpers and parts for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; bumpers and parts thereof, for the vehicles of heading no. 8701 to 8705"
"EVs (Beyond batteries)","870829","Auto Body Accessories","870829 -- Parts and accessories of bodies nes for motor v","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; parts and accessories, of bodies, other than safety seat belts"
"EVs (Beyond batteries)","870831","Brake Linings","870831 -- Mounted brake linings for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","870839","Brake Parts","870839 -- Brake system parts nes for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","870850","Drive Axles","870850 -- Drive axles with differential for motor vehicle","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof"
"EVs (Beyond batteries)","870860","Non Driving Axles","870860 -- Non-driving axles and parts for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","870870","Wheels","870870 -- Wheels including parts and accessories for moto","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; road wheels and parts and accessories thereof"
"EVs (Beyond batteries)","870880","Shock Absorbers","870880 -- Shock absorbers for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; suspension systems and parts thereof (including shock-absorbers)"
"EVs (Beyond batteries)","870891","Thermal management system","870891 -- Radiators for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; radiators and parts thereof"
"EVs (Beyond batteries)","870893","Clutches & Other Auto Parts","870893 -- Clutches and parts for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; clutches and parts thereof"
"EVs (Beyond batteries)","870894","Steering System","870894 -- Steering wheels, steering columns and steering","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts; steering wheels, steering columns and steering boxes; parts thereof"
"EVs (Beyond batteries)","870899","Auto Parts","870899 -- Motor vehicle parts nes","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Downstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicle parts and accessories; n.e.c. in heading no. 8708"
"EVs (Beyond batteries)","830230","Mountings/Fittings","830230 -- Mountings,fittings and similar art. of base mtl","72 - 83: Base metals and articles of base metal","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Mountings, fittings and similar articles; for motor vehicles, of base metal"
"EVs (Beyond batteries)","851210","Headlights","851210 -- Lighting or signalling equipment of a kind used","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Lighting or visual signalling equipment; electrical, of a kind used on bicycles, excluding articles of heading no. 8539"
"EVs (Beyond batteries)","851220","Headlights","851220 -- Lighting or visual signalling equipment nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Lighting or visual signalling equipment; electrical, of a kind used on motor vehicles (excluding articles of heading no. 8539)"
"EVs (Beyond batteries)","851230","Horn","851230 -- Sound signalling equipment","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Sound signalling equipment; electrical, used on cycles or motor vehicles (excluding articles of heading no. 8539)"
"EVs (Beyond batteries)","851240","Windsheilf Wipers","851240 -- Windscreen wipes, defrosters and demisters","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Windscreen wipers, defrosters and demisters; electrical, of kinds used for cycles or motor vehicles"
"EVs (Beyond batteries)","852721","Radio Components","852721 -- Radio rece not capable of op w/o ext source of","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles; combined with sound recording or reproducing apparatus"
"EVs (Beyond batteries)","852729","Radio Components","852729 -- Radio rece not capable of op w/o ext source of","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles; not combined with sound recording or reproducing apparatus"
"EVs (Beyond batteries)","853910","Headlights","853910 -- Sealed beam lamp units","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Lamps; sealed beam units"
"EVs (Beyond batteries)","854280","Electrical Circuts","854280 -- Electronic integrated circuits and microassembl","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","854800","Electrical Components","854800 -- Electrical parts of machinery or apparatus, nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Electrical parts of machinery or apparatus; not specified or elsewhere included in this chapter"
"EVs (Beyond batteries)","870821","Seat Belt","870821 -- Safety seat belts for motor vehicles","86 - 89: Vehicles, aircraft, vessels, and associated transport equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Vehicles; parts of bodies, safety seat belts"
"EVs (Beyond batteries)","910400","Dashboard instruments","910400 -- Instrument panel clocks and clocks of a similar","90 - 92: Optical, photographic, medical instruments, clocks, etc.","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Clocks; instrument panel clocks and clocks of a similar type for vehicles, aircraft, spacecraft or vessels"
"EVs (Beyond batteries)","940120","Seats","940120 -- Seats, motor vehicles","94 - 96: Miscellaneous manufactured articles","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Seats; of a kind used for motor vehicles"
"EVs (Beyond batteries)","731815","Plates bolts, nuts","731815 -- Bolts or screws nes, with or without their nuts","72 - 83: Base metals and articles of base metal","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers"
"EVs (Beyond batteries)","731815","Washers","731822 -- Washers, iron or steel, nes","72 - 83: Base metals and articles of base metal","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Iron or steel; threaded screws and bolts n.e.c. in item no. 7318.1, whether or not with their nuts or washers"
"EVs (Beyond batteries)","848210","Bearings","848210 -- Bearings, ball","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ball bearings"
"EVs (Beyond batteries)","741410","PMSM; Copper Wire","741410 -- Endless bands of copper wire for machinery","72 - 83: Base metals and articles of base metal","Product Component","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx",NA
"EVs (Beyond batteries)","283324","Auto-Body Materials","283324 -- Sulphates of nickel","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Sulphates; of nickel"
"EVs (Beyond batteries)","283322","Auto-Body Materials","283322 -- Sulphates of aluminium","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Sulphates; of aluminium"
"EVs (Beyond batteries)","282735","Auto-Body Materials","282735 -- Nickel chloride","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Chlorides; of nickel"
"EVs (Beyond batteries)","282732","Auto-Body Materials","282732 -- Aluminium chloride","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Chlorides; of aluminium"
"EVs (Beyond batteries)","282690","Auto-Body Materials","282690 -- Fluoroaluminates and other complex fluorine sal","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts, n.e.c. in heading no. 2826"
"EVs (Beyond batteries)","282612","Auto-Body Materials","282612 -- Fluorides of aluminium","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Fluorides; of aluminium"
"EVs (Beyond batteries)","282540","Auto-Body Materials","282540 -- Nickel oxides and hydroxides","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Nickel oxides and hydroxides"
"EVs (Beyond batteries)","282110","Auto-Body Materials","282110 -- Iron oxides and hydroxides","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Iron oxides and hydroxides"
"EVs (Beyond batteries)","282090","Auto-Body Materials","282090 -- Manganese oxides (excl. manganese dioxide)","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Manganese oxides; excluding manganese dioxide"
"EVs (Beyond batteries)","282010","Auto-Body Materials","282010 -- Manganese dioxide","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Manganese dioxide"
"EVs (Beyond batteries)","281830","Auto-Body Materials","281830 -- Aluminium hydroxide","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Aluminium hydroxide"
"EVs (Beyond batteries)","281820","Auto-Body Materials","281820 -- Aluminium oxide, other than artificial corundum","28 - 38: Chemical products","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Aluminium oxide; other than artificial corundum"
"EVs (Beyond batteries)","720421","Auto-Body Materials","720421 -- Waste and scrap, stainless steel","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ferrous waste and scrap; of stainless steel"
"EVs (Beyond batteries)","720429","Auto-Body Materials","720429 -- Waste and scrap, of alloy steel, other than sta","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ferrous waste and scrap; of alloy steel (excluding stainless)"
"EVs (Beyond batteries)","720430","Auto-Body Materials","720430 -- Waste and scrap, of tinned iron or steel","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ferrous waste and scrap; of tinned iron or steel"
"EVs (Beyond batteries)","720449","Auto-Body Materials","720449 -- Ferrous waste and scrap, iron or steel, nes","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Ferrous waste and scrap; n.e.c. in heading no. 7204"
"EVs (Beyond batteries)","740400","Auto-Body Materials","740400 -- Waste and scrap, copper or copper alloy","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Copper; waste and scrap"
"EVs (Beyond batteries)","750210","Auto-Body Materials","750210 -- Nickel unwrought, not alloyed","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Nickel; unwrought, not alloyed"
"EVs (Beyond batteries)","750220","Auto-Body Materials","750220 -- Nickel unwrought, alloyed","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Nickel; unwrought, alloys"
"EVs (Beyond batteries)","750300","Auto-Body Materials","750300 -- Waste and scrap, nickel","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Nickel; waste and scrap"
"EVs (Beyond batteries)","750400","Auto-Body Materials","750400 -- Powders and flakes, nickel","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Nickel; powders and flakes"
"EVs (Beyond batteries)","790200","Auto-Body Materials","790200 -- Zinc waste and scrap","72 - 83: Base metals and articles of base metal","Processed Material","Midstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Zinc; waste and scrap"
"EVs (Beyond batteries)","260400","Nickel","260400 -- Nickel ores and concentrates","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Nickel ores and concentrates"
"EVs (Beyond batteries)","260200","Manganese","260200 -- Manganese ores and concentrates, with a mangane","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more, calculated on the dry weight"
"EVs (Beyond batteries)","260120","Iron","260120 -- Roasted iron pyrites","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Iron pyrites; roasted"
"EVs (Beyond batteries)","260112","Iron","260111 -- Non-agglomerated iron ores and concentrates","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Iron ores and concentrates; agglomerated (excluding roasted iron pyrites)"
"EVs (Beyond batteries)","260111","Iron","260111 -- Non-agglomerated iron ores and concentrates","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Iron ores and concentrates; non-agglomerated"
"EVs (Beyond batteries)","260600","Aluminum (bauxite)","260600 -- Aluminium ores and concentrates","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Aluminium ores and concentrates"
"EVs (Beyond batteries)","260300","Copper","260300 -- Copper ores and concentrates","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Copper ores and concentrates"
"EVs (Beyond batteries)","271311","Pet Coke","271311 -- Petroleum coke, not calcined","25 - 27: Mineral products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Petroleum coke; (not calcined), obtained from bituminous minerals"
"EVs (Beyond batteries)","280300","Carbon Black","280300 -- Carbon (carbon blacks and other forms of carbon","28 - 38: Chemical products","Raw Material","Upstream","Industrial_Base/EVs (Beyond batteries)/EVs.xlsx","Carbon; carbon blacks and other forms of carbon n.e.c."
"Heatpump","841581","Air Conditioner (w heatpump)","841581 -- Air cond mach nes inc a ref unit and a valve fo","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Air conditioning machines; containing a motor driven fan, other than window or wall types, incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps)"
"Heatpump","841861","Heatpump","841861 -- Compression type refrigrting or freez equip who","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Heat pumps; other than air conditioning machines of heading no. 8415"
"Heatpump","841430","Reciprocating compressors","841430 -- Compressors of a kind used in refrigerating equ","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Compressors; of a kind used in refrigerating equipment"
"Heatpump","841590","Evaporator","841590 -- Parts of air conditioning machines","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Air conditioning machines; with motor driven fan and elements for temperature control, parts thereof"
"Heatpump","841410","Air Pumps","841410 -- Vacuum pumps","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Pumps; vacuum"
"Heatpump","841381","Liquid Pumps","841381 -- Pumps nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Pumps and liquid elevators; n.e.c. in heading no. 8413"
"Heatpump","841490","Fans","841490 -- Parts of vacuum pumps, compressors, fans, blowe","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan"
"Heatpump","840290","Heat Exchanger","840290 -- Parts of steam or vapour generating boilers nes","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Boilers; parts of steam or other vapour generating boilers"
"Heatpump","870891","Expansion Tanks","870891 -- Radiators for motor vehicles","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Vehicle parts; radiators and parts thereof"
"Heatpump","841899","Miscillaneous Heat Pump Components","841899 -- Parts of refrigerating or freezing equipment, n","84 - 85: Machinery and mechanical appliances; electrical equipment","Product Component","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Refrigerating or freezing equipment; parts thereof, other than furniture"
"Heatpump","846241","Sheet Metal Box Encasement Production; CNC Punch Press","846241 -- Punching/notching mach including comb punch/she","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx",NA
"Heatpump","846241","Sheet Metal Box Encasement Production; Shear Press","846241 -- Punching/notching mach including comb punch/she","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx",NA
"Heatpump","846229","Sheet Metal Box Encasement Production; Numerically Controlled Press bake","846229 -- Bending/folding/stgting or flattening mach (inc","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2"
"Heatpump","846229","Condensor and Evaporator Tube Production; Numerically Controlled Tube Bending","846229 -- Bending/folding/stgting or flattening mach (inc","84 - 85: Machinery and mechanical appliances; electrical equipment","Process Equipment","Downstream","Industrial_Base/Heatpump/Heat Pumps Capital Goods Supplychain.xlsx","Machine-tools; bending, folding, straightening or flattening machines (including press brakes), for working metal, numerically controlled n.e.c. in item 84.62.2"
